navn,symbol,storkreds,kmeans,x,y,x_pca,y_pca,y2_pca
Karina Adsbøl,O,Sydjyllands Storkreds,O,29.866115999999998,-14.236148000000002,6.677112879310301,-4.3502118929983995,2.124949551719247
Karina Due,O,Vestjyllands Storkreds,O,31.149878,-14.108338,7.63744239356739,-2.5069644541274076,1.7796446568333892
Karina Hjorth,Ø,Østjyllands Storkreds,F,-33.3585,-5.1153455,-6.882643632584426,-0.45719813884056987,2.5218741575621557
Karina Lorentzen Dehnhardt,F,Sydjyllands Storkreds,F,-28.179367,-5.8066254,-7.632889257773032,-1.2060562007694255,1.2148667912409863
Karl H. Bornhøft,F,Nordjyllands Storkreds,F,-26.929378999999997,-7.931788,-5.640480342709261,-2.1712586071803903,0.17169259058689434
Karl Magnus Bidstrup,Å,Fyns Storkreds,F,-25.183542000000003,5.445539,-6.961632802752697,0.7581747684971204,0.462405858174971
Karlo Brondbjerg,K,Vestjyllands Storkreds,K,-5.4893527,5.667192,0.9746287785489971,-0.3483336011974953,-3.78705654908169
Karsten Skov Petersen,C,Nordjyllands Storkreds,V,25.791119000000002,1.4589018999999999,6.200081418245548,-0.773347881252881,-1.098419766546188
Karsten Hønge,F,Fyns Storkreds,F,-28.60578,-5.939866,-7.7380142358160775,-0.5607448460972909,1.1903770899574573
Karsten Filsø,F,Vestjyllands Storkreds,F,-28.203429999999997,-8.718295,-6.143120645040517,-1.4574257427562767,0.2571057242422352
Karsten Brønnum,O,Sydjyllands Storkreds,O,29.657888,-16.164414999999998,4.321318367096185,-4.9962832693231265,0.678253895074385
Karsten Lauritzen,V,Nordjyllands Storkreds,V,20.825785,-3.0996115,7.166680887397164,-0.6635145076711306,-2.0703865095489538
Kashif Ahmad,Å,Københavns Storkreds,Å,-28.631994,9.054210000000001,-7.413885455522652,2.5918368610393587,-1.371525093981892
Kasper Roug,S,Sjællands Storkreds,S,-13.559037,-7.780361,-2.0463723031262444,-0.889863699712766,0.2718078564726267
Kasper Sand Kjær,S,Københavns Omegns Storkreds,S,-15.308723,-5.701765,-4.088108465532506,-3.4636495664705746,-0.874339560187135
Kasper Kristensen,V,Københavns Storkreds,V,24.788166,0.5277786999999999,5.471739950479127,-0.7946105809446609,-0.26127709858834913
Kasper Nordborg Kiær,F,Københavns Storkreds,F,-24.022323999999998,-4.62106,-6.714828268636411,-0.22058051246698143,0.31474847840932685
Kasper Philbert,Ø,Fyns Storkreds,Ø,-37.988255,-3.8690574,-7.251221523326918,0.6573855312964492,3.4109755511451594
Katarina Ammitzbøll,C,Københavns Storkreds,C,11.621787,6.761009,1.0648896890960122,-0.6305968912466254,-2.3594299086781376
Kathrine Olldag,B,Sjællands Storkreds,Å,-24.817073999999998,11.359555,-5.6345871299863965,1.7303000497773282,-1.6431886112208336
Katri Søgaard,C,Sydjyllands Storkreds,C,22.460932,7.476858999999999,2.8889576376995842,1.6714831089018123,-3.332798983044011
Katrine Robsøe,B,Østjyllands Storkreds,B,-21.471195,8.760274,-5.6428832858279945,3.592806020091502,-1.4781154655744069
Ken Nørregaard,I,Fyns Storkreds,I,31.777136,19.94164,4.217473146264383,5.373545191730316,0.4481090734123155
Ken Patrick  Petersson,Å,Københavns Omegns Storkreds,Å,-26.445421000000003,6.6404905,-6.550962505525059,0.29531788908739354,-0.27161420193142294
Kenneth Kristensen Berth,O,Københavns Omegns Storkreds,O,30.647292999999998,-10.776714,5.784939232070866,-3.7797881679962093,2.099177655572858
Kenneth Fredslund Petersen,O,Sydjyllands Storkreds,O,26.690034999999998,-13.774146,4.652977200105415,-4.442619349680636,1.8034089969887817
Kenneth Mikkelsen,V,Vestjyllands Storkreds,V,19.462310000000002,-2.1366625,7.284868732201339,-0.7553445882865241,-2.3551475359764202
Kenny Olsen,I,Bornholms Storkreds,I,32.12105,17.997581,6.40799016978097,7.146168534153551,0.5239018501129945
Ketil Wathne Rasmussen,D,Københavns Storkreds,D,41.175518,0.8764806999999999,8.05334662270957,2.458351055186323,2.9659907934101795
Kim  Christiansen,Å,Københavns Omegns Storkreds,Å,-28.032367999999998,5.075938,-6.8438422588101195,1.5443790454195294,-0.15098783573844055
Kim Valentin,V,Københavns Omegns Storkreds,C,16.290213,6.731798599999999,3.395123537032953,3.465133227414931,-1.7035216190710132
Kim Aas,S,Fyns Storkreds,S,-14.753582999999999,-2.807041,-4.418532220480063,-2.6609537156634717,-2.406866143482806
Kim Edberg Andersen,O,Nordjyllands Storkreds,O,25.697935,-15.484626,4.7099784191796115,-2.5904379915905538,2.461350416291218
Kim Hammer,O,Københavns Omegns Storkreds,O,29.543533,-11.654846000000001,5.157212783843108,-1.4262386334389874,4.942597979620546
Kim Errebo,O,Sjællands Storkreds,O,25.492107,-10.604347,5.254920222914632,-3.507050100747633,1.3694219208529435
Kim Durup,E,Vestjyllands Storkreds,C,19.57515,-9.673010000000001,1.3624175846474347,-0.13643045923368705,-0.7406886473763947
Kim Grenov,K,Københavns Omegns Storkreds,K,-9.403114,9.230825999999999,-0.26535315800705955,-0.45696917213311755,-3.613780561768013
Kirsten Kock,Å,Sjællands Storkreds,Å,-30.304777,6.010773,-6.582854444305504,1.5225558664820553,0.6064982369470326
Kirsten Cordtz,Ø,Sydjyllands Storkreds,Ø,-40.18258,-6.913427,-7.970676691783188,1.5166853888969412,3.436723018625176
Kirsten Normann Andersen,F,Østjyllands Storkreds,F,-30.100964,-9.228665,-6.969266920106655,0.30714236727477845,1.2871266706093993
Kjeld Haslund,C,Nordsjællands Storkreds,C,19.620848000000002,6.969931,6.603160689186502,1.9148612100346332,-3.4148261047906057
Klaus Juhl,C,Sydjyllands Storkreds,C,22.946935999999997,4.5736694,3.3389861454957304,-1.3255717727847018,-3.5930095163217417
Klaus Juel Hansen,D,Sjællands Storkreds,D,36.650333,-3.0883963,8.282487998251286,1.6648813844387522,3.098343378785739
Klaus Kroll,D,Fyns Storkreds,D,43.642994,-0.034197774,9.036817726751234,2.0338656867772964,1.9575038069689432
Klaus Riskær Pedersen,E,Københavns Storkreds,B,-11.937971000000001,2.2926142000000005,-1.1771818171363346,2.7314662998042394,-0.2145848011301661
Knud Damgaard,I,Sjællands Storkreds,I,30.351029999999998,14.436642,6.164326332785203,6.302009518147784,0.39074908755229315
Knud Erik Langhoff,C,Sydjyllands Storkreds,C,17.218782,2.8549273,6.8929469292498755,-0.7681135471418249,-3.6631392305318524
Kristian  Gylling,Å,Sjællands Storkreds,Å,-26.329058000000003,10.839763,-4.035459395025579,0.936785183636779,-2.2972573237264275
Kristian Søndergaard Larsen,K,Østjyllands Storkreds,K,-5.8822756,6.9154387,-0.4070274381692613,-2.252691225274478,-2.679933641405605
Kristian Andersen,K,Vestjyllands Storkreds,K,-2.7413144,8.579814,1.5521053091038606,-0.677467580749438,-3.7525170432155655
Kristian Thulesen Dahl,O,Sydjyllands Storkreds,O,29.283240999999997,-15.14294,6.001421783714038,-5.096741756515115,1.3403026254312012
Kristian Hegaard,B,Nordsjællands Storkreds,Å,-26.085888,11.893500999999999,-4.717800727777409,2.133172879889118,-2.5425341064495757
Kristian Pihl Lorentzen,V,Vestjyllands Storkreds,V,20.864732999999998,-2.9078524,8.413272441674195,-0.9816944390134712,-2.1197517417110348
Kristian Jensen,V,Vestjyllands Storkreds,V,24.052853,-2.5997415,5.994112332642855,0.9636757955514106,-2.086093151003918
Kristian Nørgaard Jensen,V,Nordsjællands Storkreds,C,18.236588,6.468669,4.9422516212952825,1.2162258664706287,-2.75954396197521
Kristian Guldfeldt,C,Fyns Storkreds,C,18.0546,3.0698056,4.444201940203852,0.10167767942573058,-3.8277647096867975
Kåre  Traberg Smidt,Å,Københavns Storkreds,Å,-25.298147,11.645914999999999,-5.6878018671441986,1.8125694950992832,-1.7250955716950254
Kaare Dybvad Bek,S,Sjællands Storkreds,S,-8.903118,-10.47767,-1.967561888617532,-5.164550845648977,-0.031126245932075927
Lars Vestergaard,O,Københavns Storkreds,O,25.961842,-12.739473,4.344894727491174,-4.00983106797246,2.672409350258084
Lars Goldschmidt,S,Bornholms Storkreds,S,-11.297778,-3.7275339999999995,-1.4192649087581133,-1.9892497282082804,-0.3197784708309549
Lars Boje Mathiesen,D,Østjyllands Storkreds,D,42.569759999999995,2.2868161,6.952807064730305,3.058579521613969,3.351627240222366
Lars Jensen,C,Østjyllands Storkreds,C,12.159554,3.5202843999999995,2.468838371555151,0.34606033281816445,-1.4800603180833445
Lars Olesen,F,Sydjyllands Storkreds,F,-28.829779,-5.679689,-8.054123962984436,-0.03681208301222176,1.5292192394063746
Lars Kolling,O,Fyns Storkreds,O,32.630520000000004,-17.347807,5.896746265386424,-4.150650148700651,2.334607771660858
Lars Rosenkvist,Å,Nordjyllands Storkreds,F,-29.594685,1.8047155,-7.103814616860517,0.33358802524041825,-0.5670421027284788
Lars Sejergaard,K,Københavns Omegns Storkreds,K,-3.6781832999999997,4.897381299999999,1.0160283818567977,0.6120060548985021,-0.9339730548307691
Lars Berg Andersen,I,Københavns Storkreds,I,30.514414000000002,19.303036,5.977785407124972,7.631624557363603,1.1536208207255536
Lars Arne Christensen,C,Nordsjællands Storkreds,C,14.780451999999999,7.1362796,3.78318215228583,3.1247465799318146,-4.097853353081147
Lars Aslan Rasmussen,S,Københavns Storkreds,B,-13.955631,2.0659153000000003,-1.5231497672886154,1.0701752056314995,1.8567400354015258
Lars Axel Nielsen,D,Østjyllands Storkreds,D,40.880253,1.6313473,7.30423494589387,2.2863481597749193,2.802260519937112
Lars Birger  Nielsen,Å,Sjællands Storkreds,Å,-28.061884000000003,4.987960299999999,-5.660424729618413,0.1478737017978414,-0.4460846939599613
Lars Christian Lilleholt,V,Fyns Storkreds,V,17.780949,-0.33996567,7.480159252571635,-1.413357858571701,-3.125697331260646
Lars-Christian Brask,V,Sjællands Storkreds,V,14.781431,-1.5021327,5.194350247269586,-2.290312586488179,-2.0614635131509287
Lartey Lawson,B,Københavns Storkreds,B,-15.278825,8.684847999999999,-4.460743765997058,2.413347108920507,-2.62667655351311
Lasse Vogel Andersen,C,Københavns Storkreds,C,17.405920000000002,4.8896294000000005,5.690576628625061,1.3255207576759773,-4.265848802169866
Laura Lindahl,I,Sjællands Storkreds,I,30.672083,14.816922,6.182392434608189,6.40364682786668,0.4472076781655598
Laura Emilie  Hollænder Jensen,Å,Vestjyllands Storkreds,Å,-31.73017,4.0121484,-7.2973648754940985,1.0184218768880653,0.2550540926541934
Lea Kielsholm,Ø,Vestjyllands Storkreds,Ø,-32.67004,-11.916464999999999,-6.1646224012297,1.1586868814677997,1.9662432005757922
Lea Wermelin,S,Bornholms Storkreds,S,-8.597539999999999,-9.707784,-1.7966398214020314,-5.317439442301151,-0.639851346875585
Leif Lahn Jensen,S,Østjyllands Storkreds,S,-8.104678,-9.609891000000001,-1.3177635768221063,-5.357285520657731,-0.8029332728243082
Leif Barbré Knudsen,D,Nordsjællands Storkreds,D,36.524426,-3.0496356,7.219825075724688,2.929525471192613,4.591690757997528
Lene Kattrup,D,Nordsjællands Storkreds,D,43.73922,-3.3262508,6.9045172524455865,-0.45446509705387766,1.1766456610066038
Lene Linnemann,F,Nordjyllands Storkreds,F,-18.299235999999997,2.8462355,-5.714637163842959,-1.2500530573728428,1.2099355912920382
Lene Dalsgaard,Ø,Sydjyllands Storkreds,Ø,-39.56025,-8.708227,-7.33786382525066,0.8789257462955943,3.245898321289042
Lene Ravn Rasmussen,V,Sydjyllands Storkreds,C,27.50245,-1.9861095000000002,5.420257523070587,1.0154900957834327,-2.5181907950908022
Lene Foged,I,Vestjyllands Storkreds,I,33.309032,16.318882000000002,7.185413500461568,5.595732583427132,1.8306695932425536
Lennart Damsbo-Andersen,S,Sjællands Storkreds,S,-8.230459,-10.935627,-1.9356762084742591,-5.713387748391597,-0.46137433773797076
Linda Hansen,Ø,Sjællands Storkreds,Ø,-34.307026,-9.179081,-7.296155620993406,0.5068812043126735,3.4473272132619686
Line Mørk,F,Fyns Storkreds,F,-30.65867,-1.2635288,-7.156104724178442,-1.0093276665121906,0.44967576058805186
Line Damgaard Lauritsen,C,Vestjyllands Storkreds,C,12.047888,4.0561233,3.7440376966454343,3.3666287535879884,-2.0476982082332778
Line  Gessø Storm Hansen,Å,Fyns Storkreds,Å,-26.371508000000002,14.555625,-3.9982864771370448,0.6327906458204933,-1.6460048909169336
Line Krogh Lay,B,Sjællands Storkreds,Å,-26.623053000000002,3.1471896,-6.39720860239984,1.0343753542948813,-0.4932208089634646
Line  Aaen,Å,Østjyllands Storkreds,Å,-31.569453999999997,9.591475,-5.367030677927398,1.5329698128986493,-0.40760679073383654
